1500_finish_s,3000_finish_s,5000_finish_s,mile1_s,mile2_s,mile3_s
209.83,451.2,4002.4,1321.1,1305.6,1237.3
209.85,451.26,4133.9,1377.6,1278.6,1308.5
209.85,451.33,4178.9,1351.2,1396.8,1294.3
209.89,451.33,4291.0,1333.8,1468.0,1354.7
209.9,451.33,4431.0,1393.0,1437.8,1459.1
209.9,451.4,4706.8,1459.0,1625.9,1478.5
209.91,451.41,4751.6,1577.6,1535.7,1475.0
209.91,451.41,4801.4,1593.8,1566.1,1492.7
209.91,451.41,4814.7,1621.7,1586.7,1429.9
209.93,451.47,4916.9,1601.1,1572.0,1549.6
209.95,451.48,5177.7,1641.5,1689.2,1655.2
209.96,451.49,5184.7,1639.8,1679.8,1714.2
209.97,451.5,5291.9,1713.6,1735.2,1657.9
209.99,451.54,5306.0,1739.8,1685.6,1716.7
209.99,451.57,5441.7,1750.7,1678.4,1858.7
210.0,451.57,5590.0,1840.9,1822.8,1764.3
210.0,451.58,5648.2,1821.7,1781.7,1822.9
210.01,451.59,5725.8,1767.4,2004.9,1759.0
210.01,451.65,5767.9,1842.1,1805.4,1949.2
210.04,451.66,5831.1,1835.6,1883.1,1957.6
210.06,451.68,5842.8,1855.9,1905.7,1874.5
210.06,451.69,5855.0,1881.4,1854.3,1922.6
210.07,451.77,5863.9,1948.0,2007.5,1710.2
210.07,451.78,5892.5,1833.4,1901.2,1967.9
210.09,451.78,5919.9,1904.5,1890.9,1953.6
210.1,451.81,5923.1,1871.5,1909.4,1952.3
210.11,451.81,5965.7,1838.0,1848.6,2050.9
210.12,451.83,6031.1,2089.6,1888.4,1861.7
210.12,451.83,6169.5,2026.9,1907.5,2047.8
210.13,451.84,6196.7,2052.8,1967.0,1973.8
210.13,451.88,6283.1,1951.9,2056.5,2077.5
210.15,451.93,6327.1,2010.0,2063.0,2048.0
210.16,451.94,6322.2,1969.4,2047.7,2062.1
210.16,451.96,6814.0,2250.4,2186.1,2142.4
210.17,451.96,6885.7,2173.6,2209.2,2240.4
210.18,451.98,7348.0,2371.1,2419.7,2321.9
210.18,451.98,7351.0,2401.7,2324.9,2359.3
210.2,452.01,8019.4,2735.8,2583.0,2421.8
210.2,452.01,9139.5,2813.2,2988.3,3031.6
210.2,452.01,1365.6,422.7,446.3,442.8
210.21,452.02,1363.1,412.5,447.6,461.4
210.22,452.03,1395.0,441.8,459.3,445.0
210.22,452.05,1494.8,477.8,482.2,479.8
210.22,452.1,1504.3,472.5,514.0,477.6
210.23,452.11,1554.8,513.7,504.8,476.5
210.23,452.13,1554.5,498.0,497.7,509.8
210.24,452.13,1668.4,554.0,527.0,549.5
210.24,452.13,1708.3,540.7,517.2,570.2
210.25,452.13,1677.3,542.5,546.0,534.7
210.25,452.16,1737.0,555.0,566.8,552.9
210.25,452.17,1803.9,576.7,571.4,578.0
210.26,452.19,1840.7,613.7,592.8,571.3
210.27,452.23,1838.6,626.4,566.5,587.7
210.27,452.23,1863.5,579.3,592.5,601.3
210.27,452.25,1830.7,618.2,591.3,584.1
210.28,452.27,1860.8,592.8,607.3,606.2
210.29,452.27,1884.9,650.1,605.0,566.3
210.3,452.27,1899.6,638.7,617.2,594.6
210.3,452.3,1941.9,654.6,648.3,574.6
210.31,452.31,1954.8,594.1,608.0,678.5
210.32,452.32,1997.3,647.4,654.1,624.3
210.33,452.36,2013.5,649.7,666.7,638.5
210.34,452.36,2033.8,657.7,659.4,645.7
210.34,452.36,2034.4,654.7,675.8,631.4
210.35,452.37,2049.6,650.2,653.0,668.9
210.35,452.38,2057.5,643.0,634.5,702.3
210.36,452.38,2145.3,710.2,682.4,690.6
210.36,452.42,2220.6,699.2,708.9,743.7
210.37,452.43,2245.2,714.3,753.1,698.6
210.37,452.44,2242.3,720.8,771.4,687.8
210.39,452.46,2242.9,687.4,722.3,752.9
210.4,452.48,2268.6,745.1,709.8,727.0
210.4,452.49,2255.1,738.0,716.7,724.7
210.41,452.49,2273.7,740.0,743.1,695.3
210.42,452.49,2266.7,722.7,757.5,737.0
210.42,452.52,2298.2,765.3,745.1,689.4
210.42,452.54,2294.8,762.1,743.5,690.7
210.43,452.55,2285.8,693.5,710.6,816.0
210.44,452.55,2370.6,736.1,775.8,786.4
210.44,452.55,2435.5,766.5,812.8,784.6
210.44,452.56,2445.1,795.1,790.9,792.6
210.46,452.57,2523.8,805.5,798.4,839.9
210.46,452.59,2518.3,826.7,816.2,806.9
210.46,452.61,2534.9,794.6,806.0,862.2
210.46,452.62,2616.6,815.0,888.5,814.2
210.47,452.64,2662.0,892.3,852.0,827.5
210.47,452.65,2729.5,895.6,862.0,901.2
210.47,452.68,2759.9,940.6,898.6,825.1
210.47,452.71,2802.1,885.3,870.7,956.9
210.48,452.71,2800.8,861.6,928.4,913.3
210.49,452.72,2806.1,935.8,887.1,889.0
210.49,452.72,2827.5,880.7,904.5,940.4
210.49,452.79,2837.1,942.6,944.8,846.7
210.49,452.79,2855.1,911.3,937.6,905.8
210.5,452.79,2931.5,906.1,957.7,989.0
210.51,452.84,2927.2,949.3,898.2,988.1
210.51,452.88,2984.7,998.4,927.9,955.9
210.53,452.89,3079.0,983.6,1030.1,977.8
210.54,452.91,3087.2,1021.2,971.9,1011.2
210.54,452.93,3210.5,1023.4,1090.5,985.1
210.55,452.93,3207.3,1064.0,1020.9,1023.0
210.55,452.94,3241.8,992.0,1090.9,1033.3
210.56,452.97,3274.2,1074.4,1071.2,1028.4
210.57,452.99,3295.1,1113.1,1009.9,1052.0
210.58,453.0,3342.8,1093.6,1058.1,1059.5
210.58,453.01,3390.1,1109.2,1080.2,1068.3
210.58,453.02,3443.3,1090.5,1169.1,1073.9
210.58,453.05,3444.5,1103.0,1144.2,1066.7
210.59,453.06,3479.3,1089.4,1148.7,1128.8
210.59,453.06,3553.3,1116.0,1135.6,1175.3
210.59,453.07,3560.5,1115.4,1142.3,1187.4
210.6,453.1,3551.6,1177.6,1162.4,1097.7
210.6,453.13,3609.9,1165.2,1132.4,1209.3
210.6,453.13,3611.2,1153.4,1179.1,1175.5
210.61,453.14,3680.9,1163.4,1166.1,1209.3
210.61,453.15,3679.5,1216.4,1112.4,1198.1
210.61,453.15,3700.4,1183.7,1210.0,1188.1
210.61,453.18,3711.9,1188.4,1207.6,1183.1
210.61,453.2,3759.3,1197.0,1231.7,1195.0
210.61,453.2,3767.0,1209.4,1187.7,1245.2
210.62,453.2,3772.0,1164.5,1256.3,1191.9
210.63,453.21,3778.8,1236.3,1187.9,1226.0
210.63,453.23,3776.3,1221.3,1193.8,1224.6
210.64,453.24,3820.6,1221.5,1232.2,1244.7
210.64,453.26,3836.7,1260.8,1279.3,1147.8
210.65,453.27,3840.4,1228.7,1223.1,1253.8
210.66,453.28,3849.3,1283.9,1222.7,1216.3
210.66,453.28,3849.9,1258.0,1206.1,1246.3
210.67,453.3,3857.0,1254.8,1250.3,1205.3
210.68,453.3,3853.4,1240.1,1202.5,1288.3
210.69,453.32,3848.1,1172.7,1276.8,1266.1
210.69,453.35,3849.1,1200.9,1254.4,1266.5
210.69,453.36,3870.1,1257.5,1232.6,1264.7
210.7,453.36,3868.1,1158.6,1226.4,1351.2
210.71,453.37,3913.1,1185.0,1247.7,1330.2
210.72,453.37,3911.4,1245.2,1299.6,1236.7
210.72,453.37,4048.1,1350.7,1287.3,1263.1
210.73,453.39,4056.2,1325.8,1269.3,1305.4
210.73,453.39,4049.5,1300.1,1343.7,1275.3
210.74,453.39,1216.2,389.5,389.3,399.5
210.74,453.42,1212.5,402.4,396.6,380.4
210.75,453.42,1257.2,406.6,416.0,400.4
210.75,453.43,1273.2,422.9,408.7,402.1
210.75,453.44,1334.4,439.5,432.6,405.2
210.76,453.46,1332.1,431.5,415.8,439.2
210.77,453.47,1327.6,427.8,429.7,440.0
210.77,453.49,1357.7,424.3,433.6,448.6
210.77,453.5,1360.3,442.6,457.0,403.9
210.77,453.51,1358.5,404.4,443.7,469.3
210.77,453.52,1411.2,447.2,464.0,443.4
210.77,453.52,1408.3,441.4,484.9,435.8
210.78,453.54,1413.5,447.2,459.2,474.5
210.78,453.56,1441.9,481.2,480.2,435.8
210.78,453.56,1432.0,480.7,477.8,433.7
210.78,453.62,1468.1,457.0,484.6,465.9
210.79,453.62,1459.4,451.2,474.4,478.9
210.8,453.64,1460.9,468.3,485.7,468.1
210.8,453.68,1472.0,447.5,492.6,471.1
210.8,453.68,1466.1,457.5,497.4,476.8
210.81,453.71,1483.3,481.5,460.6,500.9
210.82,453.71,1501.9,468.4,513.0,468.6
210.82,453.78,1528.4,474.8,508.2,481.8
210.82,453.79,1556.0,501.3,482.2,501.8
210.82,453.84,1549.1,514.5,501.7,483.6
210.83,453.85,1573.5,531.7,491.2,500.9
210.83,453.86,1583.0,517.6,501.3,494.8
210.84,453.87,1572.7,503.7,512.1,498.2
210.85,453.87,1603.3,521.9,510.7,507.8
210.86,453.88,1610.6,518.8,515.2,516.4
210.86,453.89,1593.7,512.1,546.4,495.7
210.87,453.91,1617.5,491.4,518.5,561.7
210.88,453.92,1645.0,542.9,532.2,511.4
210.88,453.92,1633.8,527.3,534.9,532.7
210.88,453.93,1663.6,548.0,517.8,543.8
210.88,453.93,1668.7,542.5,515.6,551.6
210.88,453.94,1669.5,551.2,509.0,560.0
210.88,453.95,1708.2,528.6,555.6,554.1
210.88,453.96,1726.4,600.9,543.4,524.9
210.89,453.96,1716.8,552.7,540.4,563.3
210.9,453.96,1781.0,589.3,553.1,567.8
210.9,454.0,1782.8,577.2,582.6,574.6
210.9,454.01,1789.2,564.6,550.6,616.0
210.9,454.02,1802.8,574.3,576.8,592.7
210.9,454.03,1810.0,577.8,553.1,627.0
210.91,454.03,1820.7,561.1,597.0,595.0
210.91,454.04,1819.2,600.6,600.7,561.4
210.92,454.06,1809.1,628.2,586.0,553.4
210.92,454.07,1840.6,575.8,593.3,620.8
210.92,454.12,1859.1,606.2,618.6,574.8
210.92,454.14,1862.0,623.6,581.5,598.2
210.93,454.15,1890.1,634.2,615.4,577.6
210.93,454.18,1930.2,582.6,643.5,622.4
210.94,454.26,1927.7,610.0,617.2,634.7
210.94,454.27,1921.0,619.7,615.3,628.3
210.94,454.28,1917.2,596.9,611.3,652.8
210.94,454.29,1972.4,625.4,649.0,625.3
210.95,454.32,1947.8,616.6,631.5,655.8
210.95,454.32,1987.4,623.8,625.9,655.8
210.95,454.36,1982.1,636.8,629.5,657.3
210.95,454.36,1986.6,633.0,666.5,621.7
210.96,454.37,2001.5,646.4,669.0,606.4
210.97,454.37,2010.8,646.8,656.8,638.2
210.97,454.4,1997.6,630.9,670.2,637.4
210.98,454.4,1992.4,616.6,685.7,628.5
210.99,454.41,2000.1,671.8,636.0,628.2
210.99,454.44,2008.2,651.2,662.2,633.4
210.99,454.46,2020.1,634.1,655.5,652.7
211.0,454.47,2019.1,634.8,626.2,683.3
211.0,454.48,2013.9,609.5,655.9,667.8
211.0,454.49,2053.1,681.0,665.4,609.7
211.0,454.49,2054.5,640.1,678.9,661.1
211.0,454.5,2026.1,654.3,654.6,648.9
211.01,454.54,2041.5,639.9,636.6,694.8
211.01,454.57,2023.7,632.5,677.7,662.6
211.01,454.57,2076.5,692.8,663.6,650.6
211.01,454.58,2080.6,657.9,699.0,649.9
211.01,454.59,2072.8,665.0,703.9,641.5
211.01,454.6,2091.2,715.7,680.5,625.3
211.01,454.62,2110.5,653.7,732.8,657.8
211.02,454.66,2108.8,634.4,762.1,646.4
211.02,454.66,2109.7,698.3,672.6,667.0
211.04,454.66,2141.9,705.4,672.5,684.2
211.04,454.67,2152.0,696.8,663.8,728.7
211.05,454.67,2169.4,739.3,675.9,689.2
211.05,454.69,2166.1,687.3,690.4,706.7
211.06,454.7,2172.5,708.5,716.9,686.1
211.06,454.7,2188.5,676.0,663.2,766.0
211.06,454.7,2179.5,750.5,691.0,668.7
211.06,454.71,2166.1,673.5,737.4,685.7
211.06,454.71,2214.3,686.8,749.0,709.6
211.07,454.72,2195.4,692.5,710.8,713.9
211.08,454.74,2202.2,660.6,724.7,744.8
211.08,454.74,2201.8,687.8,699.8,744.8
211.08,454.74,2223.8,686.3,733.3,716.8
211.08,454.75,2219.7,733.1,746.3,678.4
211.08,454.75,2254.5,766.8,706.6,705.5
211.09,454.77,2258.1,765.9,692.7,727.0
211.09,454.78,2300.9,700.2,739.6,774.9
211.1,454.79,2290.3,731.6,734.9,741.5
211.1,454.79,2287.6,730.1,740.3,736.7
211.1,454.8,2311.5,731.1,757.0,733.0
211.1,454.8,2310.7,718.1,746.7,760.7
211.1,454.82,2311.0,756.8,740.1,740.3
211.1,454.82,2311.1,778.6,727.1,725.4
211.1,454.83,2310.5,731.9,747.4,768.9
211.11,454.85,2351.9,744.5,778.9,756.5
211.12,454.86,2339.0,721.8,762.7,774.1
211.13,454.87,2358.0,698.9,743.1,829.0
211.13,454.87,2355.6,805.1,760.9,726.2
211.13,454.91,2372.7,777.2,762.8,757.6
211.13,454.94,2379.6,766.8,747.2,775.7
211.14,454.96,2385.2,738.6,758.4,811.5
211.15,454.96,2381.1,732.3,774.9,794.6
211.16,454.97,2383.8,762.9,823.2,719.5
211.16,454.98,2385.0,766.4,767.2,764.0
211.16,454.98,2400.0,709.9,811.6,797.7
211.17,454.99,2429.4,766.1,817.1,757.3
211.17,454.99,2444.0,732.5,779.2,832.4
211.17,455.0,2437.2,808.2,749.0,792.4
211.17,455.0,2440.7,781.6,804.9,771.6
211.17,455.01,2464.5,808.3,811.6,751.1
211.18,455.02,2455.3,786.0,774.3,831.2
211.18,455.04,2515.5,781.9,836.0,817.8
211.18,455.06,2512.1,795.0,815.1,808.1
211.18,455.06,2550.5,821.7,788.5,842.0
211.19,455.06,2534.3,810.6,846.5,807.5
211.19,455.06,2555.7,862.9,811.7,792.4
211.19,455.08,2567.0,807.5,824.8,844.5
211.19,455.08,2563.6,873.9,842.8,770.4
211.2,455.1,2592.9,814.2,887.3,801.8
211.2,455.11,2610.4,849.0,798.7,874.2
211.2,455.12,2648.5,855.2,842.1,858.3
211.2,455.13,2658.0,782.3,885.9,911.9
211.2,455.14,2679.0,856.7,884.0,857.2
211.21,455.15,2675.4,862.0,862.8,850.3
211.21,455.16,2695.4,850.5,889.1,876.9
211.21,455.18,2715.2,874.1,865.6,894.2
211.22,455.18,2723.9,836.2,916.4,883.8
211.22,455.2,2740.1,889.4,903.7,846.3
211.22,455.2,2734.6,913.9,848.8,906.2
211.23,455.22,2759.2,882.9,894.9,897.3
211.23,455.23,2772.9,935.3,894.2,849.8
211.24,455.23,2797.0,926.9,934.5,840.0
211.24,455.24,2807.8,919.0,933.3,872.0
211.24,455.28,2811.1,872.3,909.8,941.9
211.24,455.28,2826.3,930.8,896.5,900.6
211.25,455.3,2897.6,952.4,910.0,936.2
211.25,455.32,2911.3,919.5,947.2,947.2
211.25,455.33,2905.3,866.4,950.6,978.3
211.28,455.34,2924.8,952.7,969.7,892.0
211.28,455.35,2982.6,1029.5,947.6,889.3
211.29,455.35,2972.8,959.5,964.2,926.4
211.3,455.41,2979.3,969.9,968.3,931.0
211.3,455.41,2982.3,994.8,962.5,938.5
211.3,455.41,2995.4,943.6,938.8,999.3
211.3,455.43,2995.0,961.4,953.1,974.2
211.32,455.43,3026.6,978.5,947.4,963.6
211.32,455.44,3036.9,1049.2,964.4,912.4
211.32,455.44,3068.2,993.2,980.9,984.7
211.33,455.44,3098.1,986.9,1023.5,988.1
211.33,455.45,3102.9,1011.8,994.7,995.8
211.33,455.46,3119.8,959.5,1030.5,1017.2
211.34,455.46,3108.4,995.9,1031.3,992.9
211.34,455.47,3131.3,1044.3,976.6,1000.5
211.34,455.5,3136.5,1001.2,998.5,1038.9
211.34,455.5,3139.3,1040.9,973.5,1033.2
211.34,455.51,3140.9,998.5,1023.3,1012.2
211.34,455.52,3144.8,975.4,1045.4,991.0
211.34,455.53,3134.0,1039.2,992.4,1000.7
211.35,455.53,3159.7,1078.0,984.5,979.2
211.35,455.53,3143.9,997.1,970.3,1074.5
211.36,455.56,3152.2,1053.5,964.3,1030.7
211.36,455.57,3149.2,1002.5,1002.6,1025.2
211.36,455.6,3159.7,1006.7,1024.6,1036.1
211.36,455.6,3235.0,1002.1,1088.7,1009.6
211.37,455.61,3279.7,1041.8,1052.1,1067.1
211.37,455.61,3289.3,1130.6,1045.4,990.3
211.38,455.61,3290.3,1087.5,1049.6,1049.5
211.38,455.61,3284.7,1082.2,1025.5,1062.2
211.38,455.61,3303.4,1074.7,1069.0,1052.0
211.38,455.62,3310.7,1101.0,1068.7,1027.7
211.39,455.63,3312.6,1098.5,1055.8,1058.2
211.39,455.64,3335.3,1067.1,1060.5,1096.8
211.39,455.65,3353.9,978.6,1109.2,1152.1
211.4,455.66,3351.6,1024.3,1094.4,1112.5
211.4,455.66,3402.4,1075.9,1091.8,1116.6
211.4,455.68,3407.7,1103.1,1100.6,1083.6
211.4,455.68,3403.4,1030.7,1104.8,1168.3
211.41,455.69,3420.6,1062.5,1192.6,1048.0
211.42,455.69,3794.1,1302.4,1110.6,1235.9
211.42,455.71,1369.8,468.9,426.8,431.5
211.42,455.71,1703.6,577.3,530.8,534.5
211.43,455.72,1743.0,531.7,570.4,577.1
211.43,455.73,1803.0,608.3,568.9,559.6
211.44,455.77,1825.2,538.8,606.9,620.9
211.44,455.78,1814.1,585.3,594.9,588.3
211.44,455.79,1874.1,586.8,598.3,628.7
211.45,455.8,1897.0,614.0,596.7,641.1
211.45,455.8,2499.2,840.5,818.4,766.0
211.45,455.8,2598.6,864.0,809.6,843.3
211.45,455.81,2817.0,873.7,959.0,868.7
211.45,455.82,3250.9,1012.9,1036.7,1109.4
211.46,455.83,3384.5,1108.1,1101.5,1068.3
211.46,455.84,1368.0,420.9,429.0,471.9
211.46,455.84,1701.6,556.1,554.1,534.2
211.46,455.84,1730.1,531.7,571.7,580.8
211.47,455.87,1794.6,538.7,608.2,585.8
211.47,455.88,1837.0,562.2,579.4,627.5
211.48,455.9,1851.4,600.5,582.6,588.6
211.48,455.91,1898.2,615.6,591.5,635.4
211.48,455.91,1917.7,597.9,664.5,591.8
211.48,455.91,2496.7,797.0,823.0,794.1
211.48,455.92,2608.5,767.6,852.4,905.1
211.48,455.92,2801.1,860.0,913.7,938.7
211.48,455.94,3261.3,1049.4,1085.2,1004.8
211.49,455.95,3389.4,1102.4,1019.1,1173.6
211.49,455.96,1916.3,637.9,582.1,621.9
211.49,455.97,1813.8,593.5,588.5,581.7
211.49,455.98,1877.5,626.2,595.2,612.3
211.49,455.99,1366.0,450.5,441.7,431.4
211.49,456.02,1832.7,613.0,548.7,610.4
211.51,456.02,1725.6,547.9,546.1,578.3
211.51,456.04,3393.2,1086.9,1125.2,1043.7
211.51,456.05,1793.2,574.8,597.1,561.1
211.51,456.08,1707.9,518.3,556.5,564.0
211.52,456.1,3248.5,1026.7,1059.2,1068.2
211.52,456.1,2777.1,908.8,898.3,889.2
211.52,456.11,2494.7,784.3,832.9,777.1
211.53,456.11,2605.9,854.0,808.5,856.6
211.53,456.13,1122.7,390.3,370.0,333.0
211.53,456.15,1192.1,390.4,381.6,380.7
211.53,456.17,1242.1,387.9,398.5,400.9
211.54,456.19,1238.2,411.7,386.9,401.9
211.54,456.21,1262.2,401.8,398.4,409.9
211.54,456.21,1258.0,424.6,401.6,402.3
211.54,456.22,1295.5,424.4,409.4,413.2
211.54,456.25,1295.3,425.3,429.2,403.7
211.55,456.25,1322.7,426.4,410.3,437.2
211.56,456.25,1336.1,433.0,429.6,421.4
211.56,456.27,1343.2,435.8,434.5,409.2
211.56,456.27,1341.8,429.0,442.1,416.3
211.57,456.28,1323.4,416.3,443.9,424.9
211.57,456.28,1340.7,421.5,448.0,429.1
211.57,456.28,1363.0,414.8,416.1,463.6
211.57,456.28,1338.6,415.3,466.3,416.0
211.57,456.29,1338.7,442.1,429.6,437.1
211.57,456.29,1391.4,421.3,439.0,460.9
211.57,456.3,1394.9,440.6,446.3,464.0
211.57,456.32,1399.4,440.3,478.1,439.8
211.58,456.32,1402.9,441.7,476.3,442.5
211.58,456.32,1410.5,467.6,478.3,427.5
211.58,456.32,1415.9,480.9,441.2,442.6
211.58,456.33,1426.0,462.3,455.5,452.0
211.58,456.34,1412.6,450.1,471.1,455.8
211.59,456.36,1424.2,463.1,438.7,469.0
211.59,456.37,1423.4,461.7,483.6,451.3
211.59,456.37,1447.2,441.5,467.6,491.3
